fund,ticker,company,previous_reported_date,current_reported_date,previous_shares,current_shares,raw_shares_delta,previous_weight,current_weight,weight_delta,estimated_creation_redemption_factor,flow_factor_confidence,flow_factor_sample_size,flow_adjusted_manager_delta,flow_adjusted_direction
ARKW,TOST,TOAST INC-CLASS A,2026-09-24,2026-09-25,726834,726834,0,1.1,1.11,0.010000000000000009,0.0,1.0,38,0.0,Flow/Noise
ARKW,TSLA,TESLA INC,2026-09-24,2026-09-25,392551,392551,0,7.6,7.5,-0.09999999999999964,0.0,1.0,38,0.0,Flow/Noise
ARKW,TSM,TAIWAN SEMICONDUCTOR-SP ADR,2026-09-24,2026-09-25,94929,94929,0,2.16,2.17,0.009999999999999787,0.0,1.0,38,0.0,Flow/Noise
ARKW,XYZ,BLOCK INC,2026-09-24,2026-09-25,868827,868827,0,3.31,3.37,0.06000000000000005,0.0,1.0,38,0.0,Flow/Noise
ARKG,SCTX,SCRIBE THERAPEUTICS INC,2026-09-24,2026-09-25,691834,728442,36608,0.88,0.72,-0.16000000000000003,-0.0036761366517567007,0.96875,32,39151.27632433141,Buy Estimate
ARKG,WGS,GENEDX HOLDINGS CORP,2026-09-24,2026-09-25,506693,504833,-1860,2.07,2.05,-0.020000000000000018,-0.0036761366517567007,0.96875,32,2.672708488535136,Flow/Noise
ARKG,GH,GUARDANT HEALTH INC,2026-09-24,2026-09-25,572771,570668,-2103,4.85,4.62,-0.22999999999999954,-0.0036761366517567007,0.96875,32,2.5844661633018404,Flow/Noise
ARKG,ILMN,ILLUMINA INC,2026-09-24,2026-09-25,363806,362471,-1335,4.46,4.56,0.09999999999999964,-0.0036761366517567007,0.96875,32,2.400570728990715,Flow/Noise
ARKG,GENB,GENERATE BIOMEDICINES INC,2026-09-24,2026-09-25,1545379,1539700,-5679,1.23,1.13,-0.10000000000000009,-0.0036761366517567007,0.96875,32,2.0243827551603317,Flow/Noise
ARKG,LLY,ELI LILLY & CO,2026-09-24,2026-09-25,64204,63970,-234,3.55,3.47,-0.07999999999999963,-0.0036761366517567007,0.96875,32,2.0226775893897866,Flow/Noise
ARKG,NTLA,INTELLIA THERAPEUTICS INC,2026-09-24,2026-09-25,2593169,2583638,-9531,1.53,1.44,-0.09000000000000008,-0.0036761366517567007,0.96875,32,1.8436050992459059,Flow/Noise
ARKG,NTRA,NATERA INC,2026-09-24,2026-09-25,242818,241927,-891,4.55,4.54,-0.009999999999999787,-0.0036761366517567007,0.96875,32,1.632149506272981,Flow/Noise
ARKG,IONS,IONIS PHARMACEUTICALS INC,2026-09-24,2026-09-25,857318,854168,-3150,1.81,1.72,-0.09000000000000008,-0.0036761366517567007,0.96875,32,1.618122010724619,Flow/Noise
